term,reading,meaning,pos,source_scope,source_type,difficulty,notes
燃える,もえる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
目的,もくてき,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
潜る,もぐる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
もし,もし,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
文字,もじ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
もたらす,もたらす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
用いる,もちいる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
もちろん,もちろん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
最も,もっとも,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
求める,もとめる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
物語,ものがたり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
紅葉,もみじ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
燃やす,もやす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
模様,もよう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
門,もん,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
やがて,やがて,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
やかましい,やかましい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
役,やく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
焼く,やく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
役所,やくしょ,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
役割,やくわり,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
養う,やしなう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
痩せる,やせる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
薬局,やっきょく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
やっと,やっと,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
屋根,やね,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
やはり,やはり,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
破る,やぶる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
破れる,やぶれる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
やむ,やむ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
床,ゆか,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
愉快,ゆかい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
浴衣,ゆかた,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
輸出,ゆしゅつ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
ユニーク,ユニーク,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
輸入,ゆにゅう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
由来,ゆらい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
緩い,ゆるい,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
許す,ゆるす,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
揺れる,ゆれる,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
用意,ようい,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
要求,ようきゅう,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
用事,ようじ,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
様子,ようす,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
洋服,ようふく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
ようやく,ようやく,,,gaokao,official_curriculum_2020,3,官方普通高中日语课程标准词汇表，级别 5
よく,よく,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
汚れる,よごれる,,,gaokao,official_curriculum_2020,2,官方普通高中日语课程标准词汇表，级别 4
